64.233.173.20        xxxxxxxxxxxxxx
49.39.17.46          xxxxx
64.233.173.18        xxxx
49.39.63.103         xxxx
169.149.196.110      xxxx
106.78.91.139        xxxx
64.233.173.19        xxx
169.149.236.118      xxx
169.149.243.40       xxx
169.149.227.207      xxx
169.149.233.8        xxx
106.192.78.155       xx
169.149.230.213      xx
169.149.234.177      xx
169.149.195.211      xx
49.39.61.43          xx
49.39.10.32          xx
49.39.10.57          xx
103.41.26.154        xx
169.149.216.95       xx
169.149.223.133      xx
49.39.37.147         xx
106.192.11.146       xx
49.39.26.251         xx
49.39.5.60           xx
49.39.28.85          xx
169.149.245.141      xx
169.149.227.77       xx
106.192.209.41       xx
169.149.204.191      x
106.78.94.197        x
169.149.232.133      x
106.192.208.151      x
1.187.93.227         x
169.149.212.16       x
169.149.239.20       x
49.39.1.108          x
169.149.236.11       x
169.149.215.187      x
169.149.193.185      x
49.39.32.100         x
169.149.206.102      x
169.149.201.94       x
66.249.82.148        x
49.39.43.233         x
169.149.255.81       x
169.149.226.58       x
111.92.87.207        x
169.149.213.34       x
169.149.231.58       x
169.149.213.45       x
169.149.204.127      x
106.202.184.160      x
169.149.251.61       x
169.149.210.84       x
49.39.27.255         x
169.149.254.89       x
106.192.186.106      x
169.149.248.30       x
169.149.203.142      x
49.39.27.125         x
49.39.2.204          x
169.149.245.85       x
169.149.208.84       x
106.192.213.146      x
171.77.130.111       x
49.39.44.74          x
169.149.249.214      x
59.144.74.11         x
169.149.212.140      x
169.149.208.77       x
169.149.239.197      x
169.149.252.226      x
169.149.208.154      x
49.39.61.26          x
49.39.26.89          x
169.149.247.50       x
169.149.233.31       x
169.149.204.234      x
106.192.29.71        x
49.39.6.223          x
169.149.250.104      x
169.149.241.173      x
169.149.255.2        x
169.149.222.208      x
106.192.101.210      x
169.149.225.130      x
49.39.28.19          x
49.39.41.197         x
169.149.247.42       x
169.149.249.0        x
169.149.244.237      x
169.149.226.244      x
169.149.207.141      x
169.149.202.148      x
169.149.248.144      x
49.39.12.187         x
169.149.227.40       x
169.149.227.242      x
169.149.193.232      x
49.39.25.202         x
49.39.51.19          x
169.149.243.38       x
169.149.213.152      x
49.39.32.163         x
49.39.20.0           x
223.187.225.127      x
169.149.239.189      x
169.149.213.235      x
106.202.191.136      x
169.149.229.175      x
49.39.52.252         x
169.149.220.142      x
169.149.237.31       x
49.39.0.238          x
169.149.214.202      x
169.149.212.12       x
